Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
liver	Rattus norvegicus	penicillamine	Middle	300	milligram per kilogram	9	hour	003017316015.CEL
liver	Rattus norvegicus	penicillamine	Middle	300	milligram per kilogram	9	hour	003017316016.CEL
liver	Rattus norvegicus	penicillamine	Middle	300	milligram per kilogram	24	hour	003017316026.CEL
liver	Rattus norvegicus	penicillamine	Middle	300	milligram per kilogram	24	hour	003017316027.CEL
liver	Rattus norvegicus	penicillamine	Middle	300	milligram per kilogram	24	hour	003017316028.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	3	hour	003017343030.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	3	hour	003017344001.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	3	hour	003017344002.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	6	hour	003017344012.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	6	hour	003017344013.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	6	hour	003017344014.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	9	hour	003017316017.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	9	hour	003017316018.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	9	hour	003017316019.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	24	hour	003017316029.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	24	hour	003017316030.CEL
liver	Rattus norvegicus	penicillamine	High	1000	milligram per kilogram	24	hour	003017317001.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	2	hour	003017275001.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	2	hour	003017275002.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	8	hour	003017275009.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	8	hour	003017275010.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	24	hour	003017275017.CEL
hepatocyte	Rattus norvegicus	penicillamine	Control	0	micromolar	24	hour	003017275018.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	2	hour	003017275003.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	2	hour	003017275004.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	8	hour	003017275011.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	8	hour	003017275012.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	24	hour	003017275019.CEL
hepatocyte	Rattus norvegicus	penicillamine	Low	400	micromolar	24	hour	003017275020.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	2	hour	003017275005.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	2	hour	003017275006.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	8	hour	003017275013.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	8	hour	003017275014.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	24	hour	003017275021.CEL
hepatocyte	Rattus norvegicus	penicillamine	Middle	2000	micromolar	24	hour	003017275022.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	2	hour	003017275007.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	2	hour	003017275008.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	8	hour	003017275015.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	8	hour	003017275016.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	24	hour	003017275023.CEL
hepatocyte	Rattus norvegicus	penicillamine	High	10000	micromolar	24	hour	003017275024.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	2	hour	003016045003.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	2	hour	003016045004.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	8	hour	003016045011.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	8	hour	003016045012.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	24	hour	003016045019.CEL
hepatocyte	Homo sapiens	perhexiline	Control	0	micromolar	24	hour	003016045020.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	2	hour	003016045005.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	2	hour	003016045006.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	8	hour	003016045013.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	8	hour	003016045014.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	24	hour	003016045021.CEL
hepatocyte	Homo sapiens	perhexiline	Low	0.6	micromolar	24	hour	003016045022.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	2	hour	003016045007.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	2	hour	003016045008.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	8	hour	003016045015.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	8	hour	003016045016.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	24	hour	003016045023.CEL
hepatocyte	Homo sapiens	perhexiline	Middle	3	micromolar	24	hour	003016045024.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	2	hour	003016045009.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	2	hour	003016045010.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	8	hour	003016045017.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	8	hour	003016045018.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	24	hour	003016045025.CEL
hepatocyte	Homo sapiens	perhexiline	High	15	micromolar	24	hour	003016045026.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	3	hour	003017702024.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	3	hour	003017702025.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	3	hour	003017702026.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	6	hour	003017703006.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	6	hour	003017703007.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	6	hour	003017703008.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	9	hour	003017703018.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	9	hour	003017703019.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	9	hour	003017703020.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	24	hour	003017703030.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	24	hour	003017704001.CEL
liver	Rattus norvegicus	perhexiline	Control	0	milligram per kilogram	24	hour	003017704002.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	3	hour	003017702027.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	3	hour	003017702028.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	3	hour	003017702029.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	6	hour	003017703009.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	6	hour	003017703010.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	6	hour	003017703011.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	9	hour	003017703021.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	9	hour	003017703022.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	9	hour	003017703023.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	24	hour	003017704003.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	24	hour	003017704004.CEL
liver	Rattus norvegicus	perhexiline	Low	15	milligram per kilogram	24	hour	003017704005.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	3	hour	003017702030.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	3	hour	003017703001.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	3	hour	003017703002.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	6	hour	003017703012.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	6	hour	003017703013.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	6	hour	003017703014.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	9	hour	003017703024.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	9	hour	003017703025.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	9	hour	003017703026.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	24	hour	003017704006.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	24	hour	003017704007.CEL
liver	Rattus norvegicus	perhexiline	Middle	50	milligram per kilogram	24	hour	003017704008.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	3	hour	003017703003.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	3	hour	003017703004.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	3	hour	003017703005.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	6	hour	003017703015.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	6	hour	003017703016.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	6	hour	003017703017.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	9	hour	003017703027.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	9	hour	003017703028.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	9	hour	003017703029.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	24	hour	003017704009.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	24	hour	003017704010.CEL
liver	Rattus norvegicus	perhexiline	High	150	milligram per kilogram	24	hour	003017704011.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	2	hour	003017151001.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	2	hour	003017151002.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	8	hour	003017151009.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	8	hour	003017151010.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	24	hour	003017151017.CEL
hepatocyte	Rattus norvegicus	perhexiline	Control	0	micromolar	24	hour	003017151018.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	2	hour	003017151003.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	2	hour	003017151004.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	8	hour	003017151011.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	8	hour	003017151012.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	24	hour	003017151019.CEL
hepatocyte	Rattus norvegicus	perhexiline	Low	0.4	micromolar	24	hour	003017151020.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	2	hour	003017151005.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	2	hour	003017151006.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	8	hour	003017151013.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	8	hour	003017151014.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	24	hour	003017151021.CEL
hepatocyte	Rattus norvegicus	perhexiline	Middle	2	micromolar	24	hour	003017151022.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	2	hour	003017151007.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	2	hour	003017151008.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	8	hour	003017151015.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	8	hour	003017151016.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	24	hour	003017151023.CEL
hepatocyte	Rattus norvegicus	perhexiline	High	10	micromolar	24	hour	003017151024.CEL
hepatocyte	Homo sapiens	phenacetin	Control	0	micromolar	8	hour	003016088018.CEL
hepatocyte	Homo sapiens	phenacetin	Control	0	micromolar	8	hour	003016088019.CEL
hepatocyte	Homo sapiens	phenacetin	Control	0	micromolar	24	hour	003016088024.CEL
hepatocyte	Homo sapiens	phenacetin	Control	0	micromolar	24	hour	003016088025.CEL
hepatocyte	Homo sapiens	phenacetin	Middle	120	micromolar	8	hour	003016088020.CEL
hepatocyte	Homo sapiens	phenacetin	Middle	120	micromolar	8	hour	003016088021.CEL
hepatocyte	Homo sapiens	phenacetin	Middle	120	micromolar	24	hour	003016088026.CEL
hepatocyte	Homo sapiens	phenacetin	Middle	120	micromolar	24	hour	003016088027.CEL
hepatocyte	Homo sapiens	phenacetin	High	600	micromolar	8	hour	003016088022.CEL
hepatocyte	Homo sapiens	phenacetin	High	600	micromolar	8	hour	003016088023.CEL
hepatocyte	Homo sapiens	phenacetin	High	600	micromolar	24	hour	003016088028.CEL
hepatocyte	Homo sapiens	phenacetin	High	600	micromolar	24	hour	003016088029.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017494015.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017494016.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017494017.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017494027.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017494028.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017494029.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017495025.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017495026.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017495027.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017496004.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017496005.CEL
liver	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017496006.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017494018.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017494019.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017494020.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017494030.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017496019.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017496020.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017495028.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017495029.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017504027.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017496007.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017496008.CEL
liver	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017504030.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017494021.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017494022.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017494023.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017496021.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017496022.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017496023.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017495030.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017496001.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017504028.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017496009.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017496010.CEL
liver	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017496011.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017494024.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017494025.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017494026.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017496024.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017496025.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017496026.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017496002.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017496003.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017504029.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017496012.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017496013.CEL
liver	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017496014.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017489018.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017489019.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	3	hour	003017489020.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017489030.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017490001.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	6	hour	003017490002.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017514005.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017514006.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	9	hour	003017514007.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017514017.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017514018.CEL
kidney	Rattus norvegicus	phenacetin	Control	0	milligram per kilogram	24	hour	003017514019.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017489021.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017489022.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	3	hour	003017489023.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017490003.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017490004.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	6	hour	003017490005.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017514008.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017514009.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	9	hour	003017514010.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017514020.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017514021.CEL
kidney	Rattus norvegicus	phenacetin	Low	300	milligram per kilogram	24	hour	003017514022.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017489024.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017489025.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	3	hour	003017489026.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017490006.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017490007.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	6	hour	003017490008.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017514011.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017514012.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	9	hour	003017514013.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017514023.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017514024.CEL
kidney	Rattus norvegicus	phenacetin	Middle	1000	milligram per kilogram	24	hour	003017514025.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017489027.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017489028.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	3	hour	003017489029.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017490009.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017490010.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	6	hour	003017490011.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017514014.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017514015.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	9	hour	003017514016.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017514026.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017514027.CEL
kidney	Rattus norvegicus	phenacetin	High	2000	milligram per kilogram	24	hour	003017514028.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	2	hour	003017383023.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	2	hour	003017383024.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	8	hour	003017384019.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	8	hour	003017384020.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	24	hour	003017384027.CEL
hepatocyte	Rattus norvegicus	phenacetin	Control	0	micromolar	24	hour	003017384028.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	2	hour	003017383025.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	2	hour	003017383026.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	8	hour	003017384021.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	8	hour	003017384022.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	24	hour	003017384029.CEL
hepatocyte	Rattus norvegicus	phenacetin	Low	24	micromolar	24	hour	003017384030.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	2	hour	003017383027.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	2	hour	003017383028.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	8	hour	003017384023.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	8	hour	003017384024.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	24	hour	003017386001.CEL
hepatocyte	Rattus norvegicus	phenacetin	Middle	120	micromolar	24	hour	003017386003.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	2	hour	003017383029.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	2	hour	003017383030.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	8	hour	003017384025.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	8	hour	003017384026.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	24	hour	003017386002.CEL
hepatocyte	Rattus norvegicus	phenacetin	High	600	micromolar	24	hour	003017386004.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	2	hour	003016018028.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	2	hour	003016018029.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	8	hour	003016019006.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	8	hour	003016019007.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	24	hour	003016019014.CEL
hepatocyte	Homo sapiens	phenobarbital	Control	0	micromolar	24	hour	003016019015.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	2	hour	003016018030.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	2	hour	003016019001.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	8	hour	003016019008.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	8	hour	003016019009.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	24	hour	003016019016.CEL
hepatocyte	Homo sapiens	phenobarbital	Low	400	micromolar	24	hour	003016019017.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	2	hour	003016019002.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	2	hour	003016019003.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	8	hour	003016019010.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	8	hour	003016019011.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	24	hour	003016019018.CEL
hepatocyte	Homo sapiens	phenobarbital	Middle	2000	micromolar	24	hour	003016019019.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	2	hour	003016019004.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	2	hour	003016019005.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	8	hour	003016019012.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	8	hour	003016019013.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	24	hour	003016019020.CEL
hepatocyte	Homo sapiens	phenobarbital	High	10000	micromolar	24	hour	003016019021.CEL
liver	Rattus norvegicus	phenobarbital	Control	0	milligram per kilogram	3	hour	003017658008.CEL
